empresa,status_hoje,criado,valor,grupo,chave_match,kommo_lead_match,destino_proposto,motivo_perda,escreve,observacao
"Grupo GPSs",follow_longo,2026-06-25,47400,ainda no funil Closer,"(já vinculado)",24320783,FILA MANUAL,"",sim,"gravar lead_id e espelhar etapa do Kommo"
"Etudio Blue Monkey",follow_longo,2026-04-27,72000,outro pipeline,"(já vinculado)",22730475,perdido,"devolvido a outro pipeline: Outbound Disparo",sim,"gravar lead_id e espelhar etapa do Kommo"
"Escola Progressiva",follow_longo,2026-06-25,44952,outro pipeline,"(já vinculado)",24315865,perdido,"devolvido a outro pipeline: Pre Vendas",sim,"gravar lead_id e espelhar etapa do Kommo"
"Distrimax",negociacao,2026-05-13,40000,outro pipeline,"(já vinculado)",23266735,perdido,"devolvido a outro pipeline: Pre Vendas",sim,"gravar lead_id e espelhar etapa do Kommo"
"YouWe",follow_longo,2026-05-19,33500,outro pipeline,"(já vinculado)",23231205,perdido,"devolvido a outro pipeline: Pre Vendas",sim,"gravar lead_id e espelhar etapa do Kommo"
"Rodofort",follow_longo,2026-06-10,32500,outro pipeline,"(já vinculado)",24070417,perdido,"devolvido a outro pipeline: Pre Vendas",sim,"gravar lead_id e espelhar etapa do Kommo"
"Formiga",follow_longo,2025-05-30,30000,outro pipeline,"(já vinculado)",10170474,perdido,"devolvido a outro pipeline: Nutrição",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Casablanca Restaurante-",follow_longo,2026-04-29,30000,outro pipeline,"(já vinculado)",22579103,perdido,"devolvido a outro pipeline: Pre Vendas",sim,"gravar lead_id e espelhar etapa do Kommo"
"Otteg incorporadora",negociacao,2026-06-22,30000,outro pipeline,"(já vinculado)",24266825,perdido,"devolvido a outro pipeline: Pre Vendas",sim,"gravar lead_id e espelhar etapa do Kommo"
"Sp solução para cadastro",negociacao,2026-06-01,30000,outro pipeline,"(já vinculado)",23863941,perdido,"devolvido a outro pipeline: Pre Vendas",sim,"gravar lead_id e espelhar etapa do Kommo"
"Svizzero Alves - Raphy",follow_longo,2026-04-13,28191,outro pipeline,"(já vinculado)",22677835,perdido,"devolvido a outro pipeline: Outbound Disparo",sim,"gravar lead_id e espelhar etapa do Kommo"
"Orlando Magic Burger-",negociacao,2026-05-13,26100,outro pipeline,"(já vinculado)",22579107,perdido,"devolvido a outro pipeline: Nutrição",sim,"gravar lead_id e espelhar etapa do Kommo"
"RGOL CLINICA DE FISIOTERAPIA",follow_longo,2026-04-14,25800,outro pipeline,"(já vinculado)",22731871,perdido,"devolvido a outro pipeline: Pre Vendas",sim,"gravar lead_id e espelhar etapa do Kommo"
"Microzero",follow_longo,2025-06-06,25000,outro pipeline,"(já vinculado)",12159804,perdido,"devolvido a outro pipeline: Nutrição",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Scatt Bikes",follow_longo,2025-06-05,25000,outro pipeline,"(já vinculado)",9209578,perdido,"devolvido a outro pipeline: Outbound Disparo",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Consult Telecom",follow_longo,2026-05-26,24000,outro pipeline,"(já vinculado)",23716547,perdido,"devolvido a outro pipeline: Pre Vendas",sim,"gravar lead_id e espelhar etapa do Kommo"
"ARENA FIT",follow_longo,2026-05-27,24000,outro pipeline,"(já vinculado)",23752403,perdido,"devolvido a outro pipeline: Pre Vendas",sim,"gravar lead_id e espelhar etapa do Kommo"
"New aquecedores",follow_longo,2026-04-08,21300,outro pipeline,"(já vinculado)",22547020,perdido,"devolvido a outro pipeline: Pre Vendas",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Lilás comércio Ltda",follow_longo,2026-05-08,20189,outro pipeline,"(já vinculado)",23266275,perdido,"devolvido a outro pipeline: Pre Vendas",sim,"gravar lead_id e espelhar etapa do Kommo"
"Farmacia do povo",follow_longo,2026-04-08,18900,outro pipeline,"(já vinculado)",22523453,perdido,"devolvido a outro pipeline: Nutrição",sim,"gravar lead_id e espelhar etapa do Kommo"
"Laboratório de Análises Clínicas Bioanálises",follow_longo,2026-06-03,18400,outro pipeline,"(já vinculado)",23892955,perdido,"devolvido a outro pipeline: Pre Vendas",sim,"gravar lead_id e espelhar etapa do Kommo"
"Cristamar",follow_longo,2025-05-09,18000,outro pipeline,"(já vinculado)",7236840,perdido,"devolvido a outro pipeline: Nutrição",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"SOS ANIMAIS CLÍNICA VETERINÁRIA",negociacao,2026-05-28,18000,outro pipeline,"(já vinculado)",23392585,perdido,"devolvido a outro pipeline: Nutrição",sim,"gravar lead_id e espelhar etapa do Kommo"
"Perícia MG",follow_longo,2026-04-29,17984,outro pipeline,"(já vinculado)",23025303,perdido,"devolvido a outro pipeline: Pre Vendas",sim,"gravar lead_id e espelhar etapa do Kommo"
"MACHADO CONTABILIDADE",follow_longo,2025-05-14,17000,outro pipeline,"(já vinculado)",8364390,perdido,"devolvido a outro pipeline: Outbound Disparo",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"RPFIT",follow_longo,2026-05-20,16580,outro pipeline,"(já vinculado)",23535565,perdido,"devolvido a outro pipeline: Pre Vendas",sim,"gravar lead_id e espelhar etapa do Kommo"
"Engeed",follow_longo,2025-05-15,15000,outro pipeline,"(já vinculado)",7235950,perdido,"devolvido a outro pipeline: Nutrição",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Patricia regina Academy",follow_longo,2026-04-14,14000,outro pipeline,"(já vinculado)",22579595,perdido,"devolvido a outro pipeline: Pre Vendas",sim,"gravar lead_id e espelhar etapa do Kommo"
"Prodibel",follow_longo,2025-05-07,12000,outro pipeline,"(já vinculado)",7236884,perdido,"devolvido a outro pipeline: Pre Vendas",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Materlux",follow_longo,2025-02-06,12000,outro pipeline,"(já vinculado)",7234598,perdido,"devolvido a outro pipeline: Nutrição",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Portões e Cia",follow_longo,2026-06-23,11760,outro pipeline,"(já vinculado)",23924343,perdido,"devolvido a outro pipeline: Pre Vendas",sim,"gravar lead_id e espelhar etapa do Kommo"
"Desec Security",follow_longo,2024-11-14,11000,outro pipeline,"(já vinculado)",7236228,perdido,"devolvido a outro pipeline: Nutrição",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Stemmi",follow_longo,2024-09-19,9000,outro pipeline,"(já vinculado)",7236170,perdido,"devolvido a outro pipeline: Pre Vendas",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Moto Fácil",follow_longo,2026-06-15,8000,outro pipeline,"(já vinculado)",24028271,perdido,"devolvido a outro pipeline: Nutrição",sim,"gravar lead_id e espelhar etapa do Kommo"
"Heilen Pharma",follow_longo,2025-03-25,7500,outro pipeline,"(já vinculado)",7810378,perdido,"devolvido a outro pipeline: Outbound Disparo",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Local Flexx",follow_longo,2024-11-22,6840,outro pipeline,"(já vinculado)",7234578,perdido,"devolvido a outro pipeline: Pre Vendas",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Vibra Fios e Cabos",follow_longo,2025-05-09,6500,outro pipeline,"(já vinculado)",7527388,perdido,"devolvido a outro pipeline: Outbound Disparo",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"FORMIGHIERI & CIA LTDA",negociacao,2026-06-25,6000,outro pipeline,"(já vinculado)",7231574,perdido,"devolvido a outro pipeline: Pre Vendas",sim,"gravar lead_id e espelhar etapa do Kommo"
"Vilmar rodas",follow_longo,2026-04-13,5500,outro pipeline,"(já vinculado)",22678099,perdido,"devolvido a outro pipeline: Pre Vendas",sim,"gravar lead_id e espelhar etapa do Kommo"
"Gamatec",follow_longo,2026-05-13,5500,outro pipeline,"(já vinculado)",23375863,perdido,"devolvido a outro pipeline: Pre Vendas",sim,"gravar lead_id e espelhar etapa do Kommo"
"Gilmaq",follow_longo,2024-09-17,5274,outro pipeline,"(já vinculado)",7235616,perdido,"devolvido a outro pipeline: Nutrição",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Kestal",follow_longo,2024-12-02,5000,outro pipeline,"(já vinculado)",7236732,perdido,"devolvido a outro pipeline: Nutrição",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Denk moveis",follow_longo,2025-04-02,4800,outro pipeline,"(já vinculado)",7235318,perdido,"devolvido a outro pipeline: Outbound Disparo",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Mapa Group",follow_longo,2025-04-16,4500,outro pipeline,"(já vinculado)",7235838,perdido,"devolvido a outro pipeline: Outbound Disparo",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
